# id:12--12-12-0
0.03,-0.35,-1
0.32,0,1
0.51,-0.08,1
0.91,0.56,1
1,0.78,1
-0.55,0.36,1
0.07,-0.71,1
-0.23,-0.04,1
0.62,-0.27,1
0.73,-0.88,1
0.04,-0.25,1
-0.69,0.37,-1
0.14,0.02,1
-0.63,0.02,1
0.32,-0.58,-1
0.38,0.23,1
0.96,-1,1
-0.88,-0.39,1
0.37,0.28,1
-0.35,0.02,1
-0.97,-0.98,-1
0.04,0.66,-1
-0.92,-0.31,1
0.93,-0.66,1
-0.65,-0.63,-1
-0.02,-0.54,-1
0.75,0.75,-1
-0.23,-1,1
-0.97,0.55,1
0.2,0.05,1
0.75,0.89,1
-0.77,0.19,-1
0.56,0.1,-1
0.57,-0.31,1
-0.56,-0.09,1
-0.08,0.88,1
0.42,0.22,-1
-0.73,0.46,-1
0.34,-0.35,1
0.85,0.24,1
-0.66,0.2,1
0.9,-0.17,-1
0.75,-0.09,-1
-0.22,0.57,-1
-0.21,0.63,1
0.08,-0.27,-1
0.38,-0.23,1
-1,-0.87,-1
0.33,-0.44,1
0.4,0.46,1
-0.64,0.12,1
-0.31,0.4,1
0.03,-0.83,-1
-0.1,0.61,-1
-0.62,-0.49,-1
-0.36,-0.9,1
-0.33,-0.02,-1
-0.57,-0.24,1
0.89,0,-1
-0.6,0.3,1
0.47,-0.43,-1
-0.82,-0.94,-1
-0.42,-0.87,1
-0.76,0.69,1
-0.33,-0.62,1
0.15,-0.82,1
0.18,0.86,1
0.16,0.64,-1
-0.79,-0.45,-1
-0.39,0.64,1
0.78,0.93,-1
0.62,0.61,-1
0.99,0.91,1
-0.91,0.29,1
0.15,0.77,-1
0.41,0.88,1
-0.58,0.94,1
0.58,0,1
-0.07,-0.35,-1
-0.75,-0.71,-1
-0.8,-0.79,-1
0.5,0.55,-1
0.31,-0.57,1
-0.7,0.89,1
0.83,-0.63,1
0.37,-1,-1
-0.34,-0.9,1
-0.61,0.66,-1
0.88,-0.47,1
-0.93,-0.55,1
-0.11,-0.02,1
-0.13,-0.55,1
-0.18,0.71,-1
0.72,-0.18,-1
-0.08,0.32,1
-0.02,-0.57,1
-0.03,-0.21,1
0.25,-0.75,-1
0.23,-0.46,-1
-0.01,0.27,1
-0.02,-0.13,1
0.7,-0.52,-1
0.81,-0.65,1
-0.22,0.84,1
-0.38,0.87,1
-0.89,0.23,1
0.77,0.35,1
-0.39,-0.77,1
0.11,-0.44,1
0.04,0.35,1
0.7,0.36,-1
0.2,0.27,1
0.13,0.03,1
-0.75,0.71,-1
0.05,-0.97,1
-0.74,0.34,1
0.91,0.53,1
-0.13,0.6,-1
-0.04,0.42,-1
-0.32,0.29,1
-0.69,0.69,-1
0.39,0.66,-1
0.69,0.38,1
-0.28,0.35,-1
-0.12,0.5,1
0.1,0.36,-1
-0.23,0.38,1
-0.34,-0.8,1
0.89,-0.66,1
-1,-0.85,1
0.53,0.82,-1
0.16,-0.02,-1
-0.52,-0.57,1
0.79,-0.89,-1
0.5,0.87,-1
-0.94,0.31,1
0.66,-0.31,1
-0.16,-0.06,-1
-0.24,0,1
0.98,0.48,-1
0.91,0.75,1
0.87,0.68,1
0.54,-0.71,1
0.6,-0.35,1
0.34,-0.21,-1
0.74,-0.75,-1
0.25,0.16,1
-0.37,-0.64,-1
-0.89,0.73,1
0.41,-0.5,1
-0.2,-0.15,-1
0.51,-0.89,1
-0.09,-0.45,-1
-0.19,0.58,-1
-0.27,0.56,1
0.93,-0.02,-1
-0.3,-0.84,-1
-0.33,0.36,1
-0.8,0.62,1
0.73,0.51,-1
-0.95,0.58,1
0.16,-0.57,1
1,-0.79,1
0.19,0.18,1
0.34,0.98,-1
0.33,0.07,1
-0.32,0.34,-1
-0.15,0.8,1
0.38,-0.66,-1
-0.23,-0.3,1
-0.09,0.7,-1
